id_rodal,hectareas,especie,edad_inicial,zona,site_index,manejo,condicion,densidad_inicial
stand1,5.74,Pinus,5,6,32,Intensivo,PostRaleo1250-700,1250
stand2,6.59,eucalyptus,3,1,28,NA,SinManejo,1250
stand3,9.16,Pinus,8,7,29,Intensivo2,PostRaleo1250-700,1250
stand4,9.71,eucalyptus,6,2,30,NA,SinManejo,800
stand5,11.68,Pinus,4,6,26,Multipropósito,PostRaleo1250-700,1250
stand6,7.36,eucalyptus,9,1,32,NA,SinManejo,1250
stand7,7.89,Pinus,7,7,32,Intensivo,PostRaleo1250-700,1250
stand8,7.91,eucalyptus,5,2,26,NA,SinManejo,1250
stand9,5.41,Pinus,6,6,29,Intensivo2,PostRaleo1250-700,1250
stand10,9.64,eucalyptus,4,1,24,NA,SinManejo,800
