id_rodal,hectareas,especie,edad_inicial,zona,site_index,manejo,condicion,densidad_inicial
stand65,95.869,Pinus,14,6,32,Intensivo,PostRaleo1250-700,1250
stand68,86.208,Pinus,12,7,32,Intensivo,PostRaleo1250-700,1250
stand75,73.302,Pinus,10,6,29,Intensivo2,PostRaleo1250-700,1250
stand97,47.236,Pinus,16,7,29,Intensivo2,PostRaleo1250-700,1250
stand98,42.262,Pinus,13,6,26,Multipropósito,PostRaleo1250-700,1250
stand95,34.897,Pinus,11,7,26,Multipropósito,PostRaleo1250-700,1250
stand80,27.313,Pinus,17,6,32,Intensivo,PostRaleo1250-700,1250
stand81,21.058,Pinus,13,7,32,Intensivo,PostRaleo1250-700,1250
stand82,18.408,Pinus,19,6,29,Intensivo2,PostRaleo1250-700,1250
stand102,17.882,Pinus,12,7,29,Intensivo2,PostRaleo1250-700,1250
stand84,14.189,Pinus,15,6,26,Multipropósito,PostRaleo1250-700,1250
stand99,10.48,Pinus,16,7,26,Multipropósito,PostRaleo1250-700,1250
stand71,8.81,Pinus,15,6,32,Intensivo,PostRaleo1250-700,1250
stand72,7.329,Pinus,19,7,32,Intensivo,PostRaleo1250-700,1250
stand103,7.268,Pinus,11,6,29,Intensivo2,PostRaleo1250-700,1250
stand101,3.408,Pinus,18,7,29,Intensivo2,PostRaleo1250-700,1250
stand66,3.257,Pinus,19,6,26,Multipropósito,PostRaleo1250-700,1250
stand69,2.236,Pinus,15,7,26,Multipropósito,PostRaleo1250-700,1250
stand64,2.07,Pinus,14,6,32,Intensivo,PostRaleo1250-700,1250
stand67,1.569,Pinus,18,7,32,Intensivo,PostRaleo1250-700,1250
stand96,1.044,Pinus,18,6,29,Intensivo2,PostRaleo1250-700,1250
stand78,0.898,Pinus,10,7,29,Intensivo2,PostRaleo1250-700,1250
stand70,0.887,Pinus,13,6,26,Multipropósito,PostRaleo1250-700,1250
stand100,0.886,Pinus,11,7,26,Multipropósito,PostRaleo1250-700,1250
stand74,0.867,Pinus,10,6,32,Intensivo,PostRaleo1250-700,1250
stand83,0.732,Pinus,17,7,32,Intensivo,PostRaleo1250-700,1250
stand73,0.692,Pinus,16,6,29,Intensivo2,PostRaleo1250-700,1250
stand77,0.393,Pinus,14,7,29,Intensivo2,PostRaleo1250-700,1250
stand76,0.178,Pinus,12,6,26,Multipropósito,PostRaleo1250-700,1250
stand79,0.105,Pinus,17,7,26,Multipropósito,PostRaleo1250-700,1250
stand59,47.778,Eucapyltus,5,1,28,NA,SinManejo,1250
stand58,43.299,Eucapyltus,4,1,30,NA,SinManejo,1250
stand13,34.097,Eucapyltus,1,2,28,NA,SinManejo,800
stand105,17.489,Eucapyltus,1,2,30,NA,SinManejo,1250
stand86,11.991,Eucapyltus,1,1,28,NA,SinManejo,1250
stand90,9.536,Eucapyltus,1,1,30,NA,SinManejo,1250
stand87,9.472,Eucapyltus,5,2,28,NA,SinManejo,800
stand34,7.095,Eucapyltus,1,2,30,NA,SinManejo,1250
stand29,6.444,Eucapyltus,6,1,28,NA,SinManejo,1250
stand20,5.797,Eucapyltus,4,1,30,NA,SinManejo,1250
stand6,5.654,Eucapyltus,2,2,28,NA,SinManejo,800
stand63,5.297,Eucapyltus,1,2,30,NA,SinManejo,1250
stand62,5.281,Eucapyltus,1,1,28,NA,SinManejo,1250
stand27,4.804,Eucapyltus,1,1,30,NA,SinManejo,1250
stand25,4.665,Eucapyltus,8,2,28,NA,SinManejo,800
stand88,4.418,Eucapyltus,1,2,30,NA,SinManejo,1250
stand17,4.162,Eucapyltus,6,1,28,NA,SinManejo,1250
stand30,3.945,Eucapyltus,3,1,30,NA,SinManejo,1250
stand14,3.763,Eucapyltus,1,2,28,NA,SinManejo,800
stand31,3.455,Eucapyltus,1,2,30,NA,SinManejo,1250
stand60,3.059,Eucapyltus,1,1,28,NA,SinManejo,1250
stand40,2.876,Eucapyltus,8,1,30,NA,SinManejo,1250
stand92,2.81,Eucapyltus,1,2,28,NA,SinManejo,800
stand24,2.734,Eucapyltus,1,2,30,NA,SinManejo,1250
stand44,2.698,Eucapyltus,1,1,28,NA,SinManejo,1250
stand23,2.658,Eucapyltus,3,1,30,NA,SinManejo,1250
stand5,2.646,Eucapyltus,7,2,28,NA,SinManejo,800
stand45,2.523,Eucapyltus,2,2,30,NA,SinManejo,1250
stand7,2.507,Eucapyltus,1,1,28,NA,SinManejo,1250
stand3,2.366,Eucapyltus,5,1,30,NA,SinManejo,1250
stand85,2.339,Eucapyltus,1,2,28,NA,SinManejo,800
stand26,2.228,Eucapyltus,6,2,30,NA,SinManejo,1250
stand36,2.186,Eucapyltus,1,1,28,NA,SinManejo,1250
stand37,1.805,Eucapyltus,7,1,30,NA,SinManejo,1250
stand50,1.795,Eucapyltus,7,2,28,NA,SinManejo,800
stand91,1.729,Eucapyltus,3,2,30,NA,SinManejo,1250
stand32,1.533,Eucapyltus,2,1,28,NA,SinManejo,1250
stand1,1.515,Eucapyltus,1,1,30,NA,SinManejo,1250
stand33,1.455,Eucapyltus,1,2,28,NA,SinManejo,800
stand22,1.418,Eucapyltus,1,2,30,NA,SinManejo,1250
stand49,1.376,Eucapyltus,1,1,28,NA,SinManejo,1250
stand42,1.326,Eucapyltus,4,1,30,NA,SinManejo,1250
stand21,1.273,Eucapyltus,1,2,28,NA,SinManejo,800
stand94,1.245,Eucapyltus,1,2,30,NA,SinManejo,1250
stand9,1.152,Eucapyltus,1,1,28,NA,SinManejo,1250
stand28,1.003,Eucapyltus,1,1,30,NA,SinManejo,1250
stand8,0.97,Eucapyltus,1,2,28,NA,SinManejo,800
stand54,0.948,Eucapyltus,1,2,30,NA,SinManejo,1250
stand93,0.924,Eucapyltus,1,1,28,NA,SinManejo,1250
stand51,0.872,Eucapyltus,1,1,30,NA,SinManejo,1250
stand39,0.854,Eucapyltus,1,2,28,NA,SinManejo,800
stand52,0.803,Eucapyltus,1,2,30,NA,SinManejo,1250
stand46,0.693,Eucapyltus,1,1,28,NA,SinManejo,1250
stand19,0.646,Eucapyltus,1,1,30,NA,SinManejo,1250
stand48,0.511,Eucapyltus,1,2,28,NA,SinManejo,800
stand16,0.491,Eucapyltus,1,2,30,NA,SinManejo,1250
stand43,0.47,Eucapyltus,1,1,28,NA,SinManejo,1250
stand47,0.399,Eucapyltus,1,1,30,NA,SinManejo,1250
stand57,0.38,Eucapyltus,1,2,28,NA,SinManejo,800
stand55,0.314,Eucapyltus,1,2,30,NA,SinManejo,1250
stand4,0.289,Eucapyltus,1,1,28,NA,SinManejo,1250
stand104,0.279,Eucapyltus,1,1,30,NA,SinManejo,1250
stand41,0.271,Eucapyltus,1,2,28,NA,SinManejo,800
stand38,0.221,Eucapyltus,1,2,30,NA,SinManejo,1250
stand18,0.206,Eucapyltus,1,1,28,NA,SinManejo,1250
stand56,0.205,Eucapyltus,1,1,30,NA,SinManejo,1250
stand35,0.199,Eucapyltus,1,2,28,NA,SinManejo,800
stand15,0.182,Eucapyltus,1,2,30,NA,SinManejo,1250
stand12,0.174,Eucapyltus,1,1,28,NA,SinManejo,1250
stand11,0.123,Eucapyltus,1,1,30,NA,SinManejo,1250
stand61,0.104,Eucapyltus,1,2,28,NA,SinManejo,800
stand53,0.09,Eucapyltus,1,2,30,NA,SinManejo,1250
stand2,0.09,Eucapyltus,1,1,28,NA,SinManejo,1250
stand10,0.079,Eucapyltus,1,1,30,NA,SinManejo,1250
stand89,0.052,Eucapyltus,1,2,28,NA,SinManejo,800
